KAPPL	KSCHL	VKORG	ZZ_MVGR5	KUNNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	CCR	137740	2016/12/31	1384	2016/01/01	0004182461
V	ZRP1	SYCF	CCR	137745	2015/12/31	956	2015/04/01	0003948474
V	ZRP1	SYCF	CCR	137745	2016/12/31	1384	2016/01/01	0004182462
V	ZRP1	SYCF	CCR	138155	2015/12/31	956	2015/04/01	0003948466
V	ZRP1	SYCF	CCR	138155	2016/12/31	1384	2016/01/01	0004182463
V	ZRP1	SYCF	CCR	139210	2015/12/31	956	2015/04/01	0003948458
V	ZRP1	SYCF	CCR	139210	2016/12/31	1384	2016/01/01	0004182464
V	ZRP1	SYCF	CCR	139217	2015/12/31	956	2015/04/01	0003948454
V	ZRP1	SYCF	CCR	139217	2016/12/31	1384	2016/01/01	0004182465
V	ZRP1	SYCF	CCR	139218	2015/12/31	956	2015/04/01	0003948455
V	ZRP1	SYCF	CCR	139218	2016/12/31	1384	2016/01/01	0004182466
V	ZRP1	SYCF	CCR	140802	2015/12/31	956	2015/04/01	0003948482
V	ZRP1	SYCF	CCR	140802	2016/12/31	1384	2016/01/01	0004182415
V	ZRP1	SYCF	CCR	142211	2015/12/31	956	2015/04/01	0003948457
V	ZRP1	SYCF	CCR	142211	2016/12/31	1384	2016/01/01	0004182416
V	ZRP1	SYCF	CCR	142218	2015/12/31	956	2015/04/01	0003948460
V	ZRP1	SYCF	CCR	142218	2016/12/31	1384	2016/01/01	0004182417
V	ZRP1	SYCF	CCR	150571	2015/12/31	956	2015/04/01	0003948480
V	ZRP1	SYCF	CCR	150571	2016/12/31	1384	2016/01/01	0004182418
V	ZRP1	SYCF	CCR	155361	2015/12/31	956	2015/04/01	0003948473
V	ZRP1	SYCF	CCR	155361	2016/12/31	1384	2016/01/01	0004182419
V	ZRP1	SYCF	CCR	157027	2015/12/31	956	2015/04/01	0003948471
V	ZRP1	SYCF	CCR	157027	2016/12/31	1384	2016/01/01	0004182420
V	ZRP1	SYCF	CCR	158255	2015/12/31	956	2015/04/01	0003948484
V	ZRP1	SYCF	CCR	158255	2016/12/31	1384	2016/01/01	0004182421
V	ZRP1	SYCF	CCR	158985	2015/12/31	956	2015/04/01	0003948459
V	ZRP1	SYCF	CCR	158985	2016/12/31	1384	2016/01/01	0004182422
V	ZRP1	SYCF	CCR	161663	2015/12/31	956	2015/04/01	0003948470
V	ZRP1	SYCF	CCR	161663	2016/12/31	1384	2016/01/01	0004182423
V	ZRP1	SYCF	CDP	101813	2015/12/31	956	2015/04/01	0003948347
V	ZRP1	SYCF	CDP	101813	2016/12/31	1384	2016/01/01	0004182424
V	ZRP1	SYCF	CDP	102356	2015/12/31	956	2015/04/01	0003948381
V	ZRP1	SYCF	CDP	102356	2016/12/31	1384	2016/01/01	0004182425
V	ZRP1	SYCF	CDP	103239	2015/12/31	956	2015/04/01	0003948380
V	ZRP1	SYCF	CDP	103239	2016/12/31	1384	2016/01/01	0004182426
V	ZRP1	SYCF	CDP	103726	2015/12/31	956	2015/04/01	0003948348
V	ZRP1	SYCF	CDP	103726	2016/12/31	1384	2016/01/01	0004182427
V	ZRP1	SYCF	CDP	103866	2015/12/31	956	2015/04/01	0003948351
V	ZRP1	SYCF	CDP	103866	2016/12/31	1384	2016/01/01	0004182428
V	ZRP1	SYCF	CDP	108023	2015/12/31	956	2015/04/01	0003948357
V	ZRP1	SYCF	CDP	108023	2016/12/31	1384	2016/01/01	0004182429
V	ZRP1	SYCF	CDP	109454	2015/12/31	956	2015/04/01	0003948364
V	ZRP1	SYCF	CDP	109454	2016/12/31	1384	2016/01/01	0004182430
V	ZRP1	SYCF	CDP	110697	2015/12/31	956	2015/04/01	0003948358
V	ZRP1	SYCF	CDP	110697	2016/12/31	1384	2016/01/01	0004182431
V	ZRP1	SYCF	CDP	110933	2015/12/31	956	2015/04/01	0003948378
V	ZRP1	SYCF	CDP	110933	2016/12/31	1384	2016/01/01	0004182432
V	ZRP1	SYCF	CDP	111796	2015/12/31	956	2015/04/01	0003948359
V	ZRP1	SYCF	CDP	111796	2016/12/31	1384	2016/01/01	0004182433
V	ZRP1	SYCF	CDP	111925	2015/12/31	956	2015/04/01	0003948370
V	ZRP1	SYCF	CDP	111925	2016/12/31	1384	2016/01/01	0004182434
V	ZRP1	SYCF	CDP	114202	2015/12/31	956	2015/04/01	0003948360
V	ZRP1	SYCF	CDP	114202	2016/12/31	1384	2016/01/01	0004182435
V	ZRP1	SYCF	CDP	114410	2015/12/31	956	2015/04/01	0003948362
V	ZRP1	SYCF	CDP	114410	2016/12/31	1384	2016/01/01	0004182436
V	ZRP1	SYCF	CDP	114602	2015/12/31	956	2015/04/01	0003948373
V	ZRP1	SYCF	CDP	114602	2016/12/31	1384	2016/01/01	0004182437
V	ZRP1	SYCF	CDP	119789	2015/12/31	956	2015/04/01	0003948367
V	ZRP1	SYCF	CDP	119789	2016/12/31	1384	2016/01/01	0004182438
V	ZRP1	SYCF	CDP	120451	2015/12/31	956	2015/04/01	0003948372
V	ZRP1	SYCF	CDP	120451	2016/12/31	1384	2016/01/01	0004182439
V	ZRP1	SYCF	CDP	121059	2015/12/31	956	2015/04/01	0003948376
V	ZRP1	SYCF	CDP	121059	2016/12/31	1384	2016/01/01	0004182440
V	ZRP1	SYCF	CDP	135647	2015/12/31	956	2015/04/01	0003948363
V	ZRP1	SYCF	CDP	135647	2016/12/31	1384	2016/01/01	0004182467
