KAPPL	KSCHL	VKORG	MATNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYUS	5159267	2016/12/31	1337	2016/01/01	4182044
V	ZRP1	SYUS	5159267	2016/12/31	1415	2016/01/01	4183152
V	ZRP1	SYUS	5159483	2015/12/31	900	2015/04/01	4003438
V	ZRP1	SYUS	5159483	2015/12/31	1020	2015/04/01	4003446
V	ZRP1	SYUS	5159483	2016/12/31	1337	2016/01/01	4182045
V	ZRP1	SYUS	5159483	2016/12/31	1361	2016/01/01	4272329
V	ZRP1	SYUS	5159483	2016/12/31	1415	2016/01/01	4183153
V	ZRP1	SYUS	5159486	2015/12/31	936	2015/04/01	4038840
V	ZRP1	SYUS	5159486	2016/12/31	1373	2016/01/01	4182191
V	ZRP1	SYUS	5161079	2015/12/31	932	2015/04/01	4113770
V	ZRP1	SYUS	5161079	2015/12/31	1067	2015/04/01	4113771
V	ZRP1	SYUS	5161079	2016/12/31	1369	2016/01/01	4182180
V	ZRP1	SYUS	5161079	2016/12/31	1419	2016/01/01	4183178
V	ZRP1	SYUS	4X2M	2015/12/31	932	2015/04/01	3928504
V	ZRP1	SYUS	4X2M	2015/12/31	1067	2015/04/01	3929853
V	ZRP1	SYUS	4X2M	2016/12/31	1369	2016/01/01	4182175
V	ZRP1	SYUS	4X2M	2016/12/31	1419	2016/01/01	4183179
V	ZRP1	SYUS	4X2W	2015/12/31	932	2015/04/01	3928505
V	ZRP1	SYUS	4X2W	2015/12/31	1067	2015/04/01	3929854
V	ZRP1	SYUS	4X2W	2016/12/31	1369	2016/01/01	4182176
V	ZRP1	SYUS	4X2W	2016/12/31	1419	2016/01/01	4183180
V	ZRP1	SYUS	ABICE	2015/12/31	884	2015/04/01	3928160
V	ZRP1	SYUS	ABICE	2015/12/31	1084	2015/04/01	3929972
V	ZRP1	SYUS	ABICE	2016/12/31	1321	2016/01/01	4182012
V	ZRP1	SYUS	BATTER	2015/12/31	876	2015/04/01	3927940
V	ZRP1	SYUS	BATTER	2016/12/31	1313	2016/01/01	4181991
V	ZRP1	SYUS	BFEED	2015/12/31	924	2015/04/01	3928455
V	ZRP1	SYUS	BFEED	2015/12/31	1053	2015/04/01	3929767
V	ZRP1	SYUS	BFEED	2016/12/31	1361	2016/01/01	4182114
V	ZRP1	SYUS	BMP	2015/12/31	932	2015/04/01	3928502
V	ZRP1	SYUS	BMP	2015/12/31	1067	2015/04/01	3929855
V	ZRP1	SYUS	BMP	2016/12/31	1369	2016/01/01	4182177
V	ZRP1	SYUS	BMP	2016/12/31	1419	2016/01/01	4183181
V	ZRP1	SYUS	CAKEW	2015/12/31	876	2015/04/01	3927943
V	ZRP1	SYUS	CAKEW	2016/12/31	1313	2016/01/01	4181992
V	ZRP1	SYUS	CAV	2015/12/31	924	2015/04/01	3928471
V	ZRP1	SYUS	CAV	2015/12/31	1053	2015/04/01	3929768
V	ZRP1	SYUS	CAV	2016/12/31	1361	2016/01/01	4182115
V	ZRP1	SYUS	CBVOL	2015/12/31	924	2015/04/01	3928475
V	ZRP1	SYUS	CBVOL	2015/12/31	1053	2015/04/01	3929769
V	ZRP1	SYUS	CBVOL	2016/12/31	1361	2016/01/01	4182116
V	ZRP1	SYUS	CRST	2015/12/31	924	2015/04/01	3928456
V	ZRP1	SYUS	CRST	2015/12/31	1053	2015/04/01	3929770
V	ZRP1	SYUS	CRST	2016/12/31	1361	2016/01/01	4182117
V	ZRP1	SYUS	CSTICK	2015/12/31	884	2015/04/01	3928158
V	ZRP1	SYUS	CSTICK	2015/12/31	1084	2015/04/01	3929973
V	ZRP1	SYUS	CSTICK	2016/12/31	1321	2016/01/01	4182013
V	ZRP1	SYUS	DAILYM	2015/12/31	932	2015/04/01	3928503
V	ZRP1	SYUS	DAILYM	2015/12/31	1067	2015/04/01	3929856
V	ZRP1	SYUS	DAILYM	2016/12/31	1369	2016/01/01	4182178
V	ZRP1	SYUS	DAILYM	2016/12/31	1419	2016/01/01	4183182
V	ZRP1	SYUS	DDOB	2015/12/31	925	2015/04/01	3928484
V	ZRP1	SYUS	DDOB	2015/12/31	1076	2015/04/01	3929886
V	ZRP1	SYUS	DDOB	2016/12/31	1362	2016/01/01	4182155
V	ZRP1	SYUS	DDOG	2015/12/31	925	2015/04/01	3928485
V	ZRP1	SYUS	DDOG	2015/12/31	1076	2015/04/01	3929887
V	ZRP1	SYUS	DDOG	2016/12/31	1362	2016/01/01	4182156
V	ZRP1	SYUS	DELI	2015/12/31	897	2015/04/01	3928199
V	ZRP1	SYUS	DELI	2015/12/31	1074	2015/04/01	3929878
V	ZRP1	SYUS	DELI	2016/12/31	1334	2016/01/01	4182035
V	ZRP1	SYUS	DSAVE	2015/12/31	920	2015/04/01	3928417
V	ZRP1	SYUS	DSAVE	2015/12/31	1012	2015/04/01	3929651
V	ZRP1	SYUS	DSAVE	2016/12/31	1357	2016/01/01	4182095
V	ZRP1	SYUS	FFOOD	2015/12/31	920	2015/04/01	3928415
V	ZRP1	SYUS	FFOOD	2015/12/31	1012	2015/04/01	3929652
V	ZRP1	SYUS	FFOOD	2016/12/31	1357	2016/01/01	4182096
V	ZRP1	SYUS	FILY	2015/12/31	924	2015/04/01	3928458
V	ZRP1	SYUS	FILY	2015/12/31	1053	2015/04/01	3929771
V	ZRP1	SYUS	FILY	2016/12/31	1361	2016/01/01	4182118
V	ZRP1	SYUS	FING	2015/12/31	912	2015/04/01	3928365
V	ZRP1	SYUS	FING	2015/12/31	1066	2015/04/01	3929849
V	ZRP1	SYUS	FING	2015/12/31	1078	2015/04/01	3929901
V	ZRP1	SYUS	FING	2016/12/31	1349	2016/01/01	4182083
V	ZRP1	SYUS	FRITZ	2015/12/31	897	2015/04/01	3928200
V	ZRP1	SYUS	FRITZ	2015/12/31	1074	2015/04/01	3929879
V	ZRP1	SYUS	FRITZ	2016/12/31	1334	2016/01/01	4182036
V	ZRP1	SYUS	FRLID	2015/12/31	924	2015/04/01	3928474
V	ZRP1	SYUS	FRLID	2015/12/31	1053	2015/04/01	3929772
V	ZRP1	SYUS	FRLID	2016/12/31	1361	2016/01/01	4182119
V	ZRP1	SYUS	FUNOWL	2015/12/31	879	2015/04/01	3928099
V	ZRP1	SYUS	FUNOWL	2015/12/31	1018	2015/04/01	3929671
V	ZRP1	SYUS	FUNOWL	2016/12/31	1316	2016/01/01	4182005
V	ZRP1	SYUS	GDEAD	2015/12/31	904	2015/04/01	3928253
V	ZRP1	SYUS	GDEAD	2015/12/31	1055	2015/04/01	3929809
V	ZRP1	SYUS	GDEAD	2016/12/31	1341	2016/01/01	4182059
V	ZRP1	SYUS	GDEAD	2016/12/31	1417	2016/01/01	4183164
V	ZRP1	SYUS	GMBEAR	2015/12/31	924	2015/04/01	3928472
V	ZRP1	SYUS	GMBEAR	2015/12/31	1053	2015/04/01	3929773
V	ZRP1	SYUS	GMBEAR	2016/12/31	1361	2016/01/01	4182120
V	ZRP1	SYUS	GMFISH	2016/12/31	1361	2016/01/01	4272330
V	ZRP1	SYUS	GMWORM	2016/12/31	1361	2016/01/01	4272331
V	ZRP1	SYUS	HAST	2015/12/31	924	2015/04/01	3928460
V	ZRP1	SYUS	HAST	2015/12/31	1053	2015/04/01	3929774
V	ZRP1	SYUS	HAST	2016/12/31	1361	2016/01/01	4182121
V	ZRP1	SYUS	HBAR	2015/12/31	924	2015/04/01	3928459
V	ZRP1	SYUS	HBAR	2015/12/31	1053	2015/04/01	3929775
V	ZRP1	SYUS	HBAR	2016/12/31	1361	2016/01/01	4182122
V	ZRP1	SYUS	HEREK	2015/12/31	925	2015/04/01	3928489
V	ZRP1	SYUS	HEREK	2015/12/31	1076	2015/04/01	3929888
V	ZRP1	SYUS	HEREK	2016/12/31	1362	2016/01/01	4182157
V	ZRP1	SYUS	HOPUP	2015/12/31	924	2015/04/01	3928461
V	ZRP1	SYUS	HOPUP	2015/12/31	1053	2015/04/01	3929776
V	ZRP1	SYUS	HOPUP	2016/12/31	1361	2016/01/01	4182123
V	ZRP1	SYUS	ICEDAY	2015/12/31	925	2015/04/01	3928483
V	ZRP1	SYUS	ICEDAY	2015/12/31	1076	2015/04/01	3929889
V	ZRP1	SYUS	ICEDAY	2016/12/31	1362	2016/01/01	4182158
V	ZRP1	SYUS	IDA	2015/12/31	890	2015/04/01	3928167
V	ZRP1	SYUS	IDA	2015/12/31	1059	2015/04/01	3929840
V	ZRP1	SYUS	IDA	2016/12/31	1327	2016/01/01	4182027
V	ZRP1	SYUS	IGLAM	2015/12/31	924	2015/04/01	3928473
V	ZRP1	SYUS	IGLAM	2015/12/31	1053	2015/04/01	3929777
V	ZRP1	SYUS	IGLAM	2016/12/31	1361	2016/01/01	4182124
V	ZRP1	SYUS	LICK	2015/12/31	920	2015/04/01	3928418
V	ZRP1	SYUS	LICK	2015/12/31	1012	2015/04/01	3929653
V	ZRP1	SYUS	LICK	2016/12/31	1357	2016/01/01	4182097
