KAPPL	KSCHL	VKORG	ZZ_MVGR5	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	CDP	2015/12/31	981	2015/04/01	0003929493
V	ZRP1	SYCF	CDP	2016/12/31	1384	2016/01/01	0004182249
V	ZRP1	SYCF	CDP	2016/12/31	1403	2016/01/01	0004182878
V	ZRP1	SYCF	CDS	2014/12/31	10008-CF	2014/01/01	0003142048
V	ZRP1	SYCF	CDS	2015/12/31	956	2015/04/01	0003929301
V	ZRP1	SYCF	CDS	2015/12/31	981	2015/04/01	0003929494
V	ZRP1	SYCF	CDS	2016/12/31	1384	2016/01/01	0004182250
V	ZRP1	SYCF	CDS	2016/12/31	1403	2016/01/01	0004182879
V	ZRP1	SYCF	CEI	2014/12/31	10153-CF	2014/01/01	0003142470
V	ZRP1	SYCF	CEI	2015/12/31	960	2015/04/01	0003929319
V	ZRP1	SYCF	CEI	2015/12/31	1079	2015/04/01	0003929912
V	ZRP1	SYCF	CEI	2016/12/31	1387	2016/01/01	0004182545
V	ZRP1	SYCF	CEI	2016/12/31	1421	2016/01/01	0004183234
V	ZRP1	SYCF	CEN	2014/12/31	10009-CF	2014/01/01	0003142050
V	ZRP1	SYCF	CEN	2015/12/31	958	2015/04/01	0003929312
V	ZRP1	SYCF	CEN	2016/12/31	1386	2016/01/01	0004182540
V	ZRP1	SYCF	CGD	2015/12/31	958	2015/04/01	0003977104
V	ZRP1	SYCF	CGD	2016/12/31	1386	2016/01/01	0004182539
V	ZRP1	SYCF	CHA	2014/12/31	10088-CF	2014/01/01	0003142347
V	ZRP1	SYCF	CHA	2015/12/31	1140	2015/04/01	0003930146
V	ZRP1	SYCF	CHA	2016/12/31	1566	2016/01/01	0004188151
V	ZRP1	SYCF	CHI	2014/12/31	10089-CF	2014/01/01	0003142348
V	ZRP1	SYCF	CHI	2015/12/31	1170	2015/04/01	0003930267
V	ZRP1	SYCF	CHI	2016/12/31	1497	2016/01/01	0004183859
V	ZRP1	SYCF	CHR	2014/12/31	10119-CF	2014/01/01	0003142411
V	ZRP1	SYCF	CHY	2014/12/31	10009-CF	2014/01/01	0003142051
V	ZRP1	SYCF	CHY	2015/12/31	958	2015/04/01	0003929313
V	ZRP1	SYCF	CHY	2016/12/31	1386	2016/01/01	0004182541
V	ZRP1	SYCF	CLH	2015/12/31	956	2015/04/01	0003929302
V	ZRP1	SYCF	CLH	2015/12/31	981	2015/04/01	0003929495
V	ZRP1	SYCF	CLH	2016/12/31	1384	2016/01/01	0004182251
V	ZRP1	SYCF	CLH	2016/12/31	1403	2016/01/01	0004182880
V	ZRP1	SYCF	CLM	2015/12/31	956	2015/04/01	0003929303
V	ZRP1	SYCF	CLM	2015/12/31	981	2015/04/01	0003929496
V	ZRP1	SYCF	CLM	2016/12/31	1384	2016/01/01	0004182252
V	ZRP1	SYCF	CLM	2016/12/31	1403	2016/01/01	0004182881
V	ZRP1	SYCF	CLR	2015/12/31	956	2015/04/01	0003929304
V	ZRP1	SYCF	CLR	2015/12/31	981	2015/04/01	0003929497
V	ZRP1	SYCF	CLR	2016/12/31	1384	2016/01/01	0004182253
V	ZRP1	SYCF	CLR	2016/12/31	1403	2016/01/01	0004182882
V	ZRP1	SYCF	CMH	2015/12/31	956	2015/04/01	0003929305
V	ZRP1	SYCF	CMH	2015/12/31	981	2015/04/01	0003929498
V	ZRP1	SYCF	CMH	2016/12/31	1384	2016/01/01	0004182254
V	ZRP1	SYCF	CMH	2016/12/31	1403	2016/01/01	0004182883
V	ZRP1	SYCF	CMP	2014/12/31	10131-CF	2014/01/01	0003142430
V	ZRP1	SYCF	CMP	2015/12/31	1131	2015/04/01	0003930136
V	ZRP1	SYCF	CMP	2016/12/31	1458	2016/01/01	0004183723
V	ZRP1	SYCF	CO3	2015/12/31	957	2015/04/01	0004151650
V	ZRP1	SYCF	CO3	2016/12/31	1385	2016/01/01	0004182532
V	ZRP1	SYCF	COR	2014/12/31	10090-CF	2014/01/01	0003142350
V	ZRP1	SYCF	COR	2015/12/31	1143	2015/04/01	0003930155
V	ZRP1	SYCF	COR	2016/12/31	1470	2016/01/01	0004183742
V	ZRP1	SYCF	CPT	2014/12/31	10009-CF	2014/01/01	0003142052
V	ZRP1	SYCF	CPT	2015/12/31	958	2015/04/01	0003929314
