AKTNR,ANZAUF,BOMAT,BOSTA,Exclude,FKWRT,GKWRT,KAPPL,KBETR,KBRUE,KFRST,KLF_KAL,KLF_STG,KMEIN,KNUMA_AG,KNUMA_BO,KNUMA_PI,KNUMA_SQ,KNUMH,KNUMT,KOMXWRT,KONMS,KONWA,KONWS,KOPOS,KPEIN,KRECH,KSCHL,KSPAE,KSTBM,KSTBW,KUMNE,KUMZA,KUNNR,KWAEH,KZBZG,KZNEP,LIFNR,LOEVM_KO,MANDT,MDFLG,MEINS,MIKBAS,MWSK1,MWSK2,MXKBAS,MXWRT,PKWRT,PRSCH,RSWRT,STFKZ,UASTA,UKBAS,VALDT,VALTG,VBEWA,VERTN,VERTT,VKKAL,ZAEHK_IND,ZTERM
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931359, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931360, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931361, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931362, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931363, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931364, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931365, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931366, ,0,M3,%, ,01,0,A,ZRP1, ,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931367, ,0,M3,%, ,01,0,A,ZRP1, ,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931368, ,0,M3,%, ,01,0,A,ZRP1, ,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
