KAPPL	KSCHL	VKORG	ZZ_MVGR5	BRSCH	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	ETR	LI	2016/12/31	1523	2016/01/01	0004183950
V	ZRP1	SYCF	ETR	OP	2015/12/31	1197	2015/04/01	0003944689
V	ZRP1	SYCF	ETR	OP	2016/12/31	1523	2016/01/01	0004183951
V	ZRP1	SYCF	FID	LI	2015/12/31	1100	2015/04/01	0003948062
V	ZRP1	SYCF	FID	LI	2016/12/31	1429	2016/01/01	0004183414
V	ZRP1	SYCF	FID	OP	2015/12/31	1100	2015/04/01	0003947502
V	ZRP1	SYCF	FID	OP	2016/12/31	1429	2016/01/01	0004183419
V	ZRP1	SYCF	GCR	FO	2015/12/31	974	2015/04/01	0004005742
V	ZRP1	SYCF	GCR	FO	2016/12/31	1397	2016/01/01	0004182731
V	ZRP1	SYCF	GCR	LI	2015/12/31	974	2015/04/01	0003947949
V	ZRP1	SYCF	GCR	LI	2016/12/31	1397	2016/01/01	0004182725
V	ZRP1	SYCF	GCR	MA	2015/12/31	974	2015/04/01	0004005740
V	ZRP1	SYCF	GCR	MA	2016/12/31	1397	2016/01/01	0004182732
V	ZRP1	SYCF	GCR	OP	2015/12/31	974	2015/04/01	0003931580
V	ZRP1	SYCF	GCR	OP	2016/12/31	1397	2016/01/01	0004182728
V	ZRP1	SYCF	GCR	WC	2015/12/31	974	2015/04/01	0004005741
V	ZRP1	SYCF	GCR	WC	2016/12/31	1397	2016/01/01	0004182733
V	ZRP1	SYCF	GMD	FO	2015/12/31	974	2015/04/01	0004005745
V	ZRP1	SYCF	GMD	FO	2016/12/31	1397	2016/01/01	0004182734
V	ZRP1	SYCF	GMD	LI	2015/12/31	974	2015/04/01	0003947950
V	ZRP1	SYCF	GMD	LI	2016/12/31	1397	2016/01/01	0004182726
V	ZRP1	SYCF	GMD	MA	2015/12/31	974	2015/04/01	0004005744
V	ZRP1	SYCF	GMD	MA	2016/12/31	1397	2016/01/01	0004182735
V	ZRP1	SYCF	GMD	OP	2015/12/31	974	2015/04/01	0003931581
V	ZRP1	SYCF	GMD	OP	2016/12/31	1397	2016/01/01	0004182729
V	ZRP1	SYCF	GMD	WC	2015/12/31	974	2015/04/01	0004005743
V	ZRP1	SYCF	GMD	WC	2016/12/31	1397	2016/01/01	0004182736
V	ZRP1	SYCF	GRM	FO	2015/12/31	974	2015/04/01	0004005748
V	ZRP1	SYCF	GRM	FO	2016/12/31	1397	2016/01/01	0004182737
V	ZRP1	SYCF	GRM	LI	2015/12/31	974	2015/04/01	0003947951
V	ZRP1	SYCF	GRM	LI	2016/12/31	1397	2016/01/01	0004182727
V	ZRP1	SYCF	GRM	MA	2015/12/31	974	2015/04/01	0004005747
V	ZRP1	SYCF	GRM	MA	2016/12/31	1397	2016/01/01	0004182738
V	ZRP1	SYCF	GRM	OP	2015/12/31	974	2015/04/01	0003931582
V	ZRP1	SYCF	GRM	OP	2016/12/31	1397	2016/01/01	0004182730
V	ZRP1	SYCF	GRM	WC	2015/12/31	974	2015/04/01	0004005746
V	ZRP1	SYCF	GRM	WC	2016/12/31	1397	2016/01/01	0004182739
V	ZRP1	SYCF	HOC	LI	2015/12/31	982	2015/04/01	0003947963
V	ZRP1	SYCF	HOC	LI	2016/12/31	1404	2016/01/01	0004182905
V	ZRP1	SYCF	HOC	OP	2015/12/31	982	2015/04/01	0003931161
V	ZRP1	SYCF	HOC	OP	2016/12/31	1404	2016/01/01	0004182899
V	ZRP1	SYCF	HOC	WC	2015/12/31	982	2015/04/01	0004000719
V	ZRP1	SYCF	HOC	WC	2016/12/31	1404	2016/01/01	0004182902
V	ZRP1	SYCF	HOM	LI	2015/12/31	982	2015/04/01	0003947964
V	ZRP1	SYCF	HOM	LI	2016/12/31	1404	2016/01/01	0004182906
V	ZRP1	SYCF	HOM	OP	2015/12/31	982	2015/04/01	0003931162
V	ZRP1	SYCF	HOM	OP	2016/12/31	1404	2016/01/01	0004182900
V	ZRP1	SYCF	HOM	WC	2015/12/31	982	2015/04/01	0004000720
V	ZRP1	SYCF	HOM	WC	2016/12/31	1404	2016/01/01	0004182903
V	ZRP1	SYCF	HOR	LI	2015/12/31	982	2015/04/01	0003947965
V	ZRP1	SYCF	HOR	LI	2016/12/31	1404	2016/01/01	0004182907
V	ZRP1	SYCF	HOR	OP	2015/12/31	982	2015/04/01	0003931163
V	ZRP1	SYCF	HOR	OP	2016/12/31	1404	2016/01/01	0004182901
V	ZRP1	SYCF	HOR	WC	2015/12/31	982	2015/04/01	0004000721
V	ZRP1	SYCF	HOR	WC	2016/12/31	1404	2016/01/01	0004182904
V	ZRP1	SYCF	HWC	LI	2015/12/31	985	2015/04/01	0004000757
V	ZRP1	SYCF	HWC	LI	2016/12/31	1407	2016/01/01	0004182970
V	ZRP1	SYCF	HWC	OP	2015/12/31	985	2015/04/01	0003931668
V	ZRP1	SYCF	HWC	OP	2016/12/31	1407	2016/01/01	0004182972
V	ZRP1	SYCF	HWP	LI	2015/12/31	985	2015/04/01	0004000758
V	ZRP1	SYCF	HWP	LI	2016/12/31	1407	2016/01/01	0004182971
V	ZRP1	SYCF	HWP	OP	2015/12/31	985	2015/04/01	0003931669
V	ZRP1	SYCF	HWP	OP	2016/12/31	1407	2016/01/01	0004182973
V	ZRP1	SYCF	JGM	FO	2015/12/31	990	2015/04/01	0003945962
V	ZRP1	SYCF	JGM	FO	2016/12/31	1411	2016/01/01	0004183051
V	ZRP1	SYCF	JGM	MA	2015/12/31	990	2015/04/01	0004005804
V	ZRP1	SYCF	JGM	MA	2016/12/31	1411	2016/01/01	0004183053
V	ZRP1	SYCF	JGM	OP	2015/12/31	990	2015/04/01	0004005805
V	ZRP1	SYCF	JGM	OP	2016/12/31	1411	2016/01/01	0004183054
V	ZRP1	SYCF	JGM	WC	2015/12/31	990	2015/04/01	0004005803
V	ZRP1	SYCF	JGM	WC	2016/12/31	1411	2016/01/01	0004183055
V	ZRP1	SYCF	JGS	FO	2015/12/31	990	2015/04/01	0003945963
V	ZRP1	SYCF	JGS	FO	2016/12/31	1411	2016/01/01	0004183052
V	ZRP1	SYCF	JGS	MA	2015/12/31	990	2015/04/01	0004005807
V	ZRP1	SYCF	JGS	MA	2016/12/31	1411	2016/01/01	0004183056
V	ZRP1	SYCF	JGS	OP	2015/12/31	990	2015/04/01	0004005808
V	ZRP1	SYCF	JGS	OP	2016/12/31	1411	2016/01/01	0004183057
V	ZRP1	SYCF	JGS	WC	2015/12/31	990	2015/04/01	0004005806
V	ZRP1	SYCF	JGS	WC	2016/12/31	1411	2016/01/01	0004183058
V	ZRP1	SYCF	JKD	FO	2015/12/31	989	2015/04/01	0003945677
V	ZRP1	SYCF	JKD	FO	2016/01/31	1410	2016/01/01	0004182987
V	ZRP1	SYCF	JKD	FO	2016/07/31	1568	2016/02/01	0004188311
V	ZRP1	SYCF	JKD	LI	2015/12/31	989	2015/04/01	0004005771
V	ZRP1	SYCF	JKD	LI	2016/01/31	1410	2016/01/01	0004182989
V	ZRP1	SYCF	JKD	LI	2016/07/31	1568	2016/02/01	0004188312
V	ZRP1	SYCF	JKD	MA	2015/12/31	989	2015/04/01	0004005769
V	ZRP1	SYCF	JKD	MA	2016/01/31	1410	2016/01/01	0004182990
V	ZRP1	SYCF	JKD	MA	2016/07/31	1568	2016/02/01	0004188313
V	ZRP1	SYCF	JKD	OP	2015/12/31	989	2015/04/01	0004005770
V	ZRP1	SYCF	JKD	OP	2016/01/31	1410	2016/01/01	0004182991
V	ZRP1	SYCF	JKD	OP	2016/07/31	1568	2016/02/01	0004188314
V	ZRP1	SYCF	JKD	WC	2015/12/31	989	2015/04/01	0004005768
V	ZRP1	SYCF	JKD	WC	2016/01/31	1410	2016/01/01	0004182992
V	ZRP1	SYCF	JKD	WC	2016/07/31	1568	2016/02/01	0004188315
V	ZRP1	SYCF	JKM	FO	2015/12/31	989	2015/04/01	0003945676
V	ZRP1	SYCF	JKM	FO	2016/01/31	1410	2016/01/01	0004182988
V	ZRP1	SYCF	JKM	FO	2016/07/31	1568	2016/02/01	0004188306
V	ZRP1	SYCF	JKM	LI	2015/12/31	989	2015/04/01	0004005775
V	ZRP1	SYCF	JKM	LI	2016/01/31	1410	2016/01/01	0004182993
V	ZRP1	SYCF	JKM	LI	2016/07/31	1568	2016/02/01	0004188307
V	ZRP1	SYCF	JKM	MA	2015/12/31	989	2015/04/01	0004005773
V	ZRP1	SYCF	JKM	MA	2016/01/31	1410	2016/01/01	0004182994
V	ZRP1	SYCF	JKM	MA	2016/07/31	1568	2016/02/01	0004188308
V	ZRP1	SYCF	JKM	OP	2015/12/31	989	2015/04/01	0004005774
V	ZRP1	SYCF	JKM	OP	2016/01/31	1410	2016/01/01	0004182995
V	ZRP1	SYCF	JKM	OP	2016/07/31	1568	2016/02/01	0004188309
V	ZRP1	SYCF	JKM	WC	2015/12/31	989	2015/04/01	0004005772
V	ZRP1	SYCF	JKM	WC	2016/01/31	1410	2016/01/01	0004182996
V	ZRP1	SYCF	JKM	WC	2016/07/31	1568	2016/02/01	0004188310
V	ZRP1	SYCF	KAH	CO	2015/12/31	991	2015/04/01	0003979075
V	ZRP1	SYCF	KAH	CO	2016/12/31	1412	2016/01/01	0004183145
V	ZRP1	SYCF	KAS	CO	2015/12/31	991	2015/04/01	0003949715
V	ZRP1	SYCF	KAS	CO	2016/12/31	1412	2016/01/01	0004183130
V	ZRP1	SYCF	KB2	CO	2015/12/31	991	2015/04/01	0003929631
V	ZRP1	SYCF	KB2	CO	2016/12/31	1412	2016/01/01	0004183132
V	ZRP1	SYCF	KBA	CO	2015/12/31	991	2015/04/01	0003929632
V	ZRP1	SYCF	KBA	CO	2016/12/31	1412	2016/01/01	0004183133
V	ZRP1	SYCF	KBB	CO	2015/12/31	991	2015/04/01	0003929633
V	ZRP1	SYCF	KBB	CO	2016/12/31	1412	2016/01/01	0004183134
V	ZRP1	SYCF	KCB	CO	2015/12/31	991	2015/04/01	0003929634
V	ZRP1	SYCF	KCB	CO	2016/12/31	1412	2016/01/01	0004183135
V	ZRP1	SYCF	KCU	CO	2015/12/31	991	2015/04/01	0003929635
V	ZRP1	SYCF	KCU	CO	2016/12/31	1412	2016/01/01	0004183136
V	ZRP1	SYCF	KG8	CO	2015/12/31	991	2015/04/01	0003929636
V	ZRP1	SYCF	KG8	CO	2016/12/31	1412	2016/01/01	0004183137
V	ZRP1	SYCF	KGA	CO	2015/12/31	991	2015/04/01	0003929637
V	ZRP1	SYCF	KGA	CO	2016/12/31	1412	2016/01/01	0004183138
V	ZRP1	SYCF	KMG	CO	2015/12/31	991	2015/04/01	0003949716
V	ZRP1	SYCF	KMG	CO	2016/12/31	1412	2016/01/01	0004183131
V	ZRP1	SYCF	KPA	CO	2015/12/31	991	2015/04/01	0003929638
V	ZRP1	SYCF	KPA	CO	2016/12/31	1412	2016/01/01	0004183139
V	ZRP1	SYCF	KPR	FO	2015/12/31	1201	2015/04/01	0003944708
V	ZRP1	SYCF	KPR	FO	2016/12/31	1527	2016/01/01	0004183961
V	ZRP1	SYCF	KPR	LI	2015/12/31	1201	2015/04/01	0003948019
V	ZRP1	SYCF	KPR	LI	2016/12/31	1527	2016/01/01	0004183962
V	ZRP1	SYCF	KPR	MA	2015/12/31	1201	2015/04/01	0004005936
V	ZRP1	SYCF	KPR	MA	2016/12/31	1527	2016/01/01	0004183963
V	ZRP1	SYCF	KPR	OP	2015/12/31	1201	2015/04/01	0003944709
V	ZRP1	SYCF	KPR	OP	2016/12/31	1527	2016/01/01	0004183964
V	ZRP1	SYCF	KPR	WC	2015/12/31	1201	2015/04/01	0004005935
V	ZRP1	SYCF	KPR	WC	2016/12/31	1527	2016/01/01	0004183965
V	ZRP1	SYCF	KPT	CO	2015/12/31	991	2015/04/01	0003929639
V	ZRP1	SYCF	KPT	CO	2016/12/31	1412	2016/01/01	0004183140
V	ZRP1	SYCF	KSH	CO	2015/12/31	991	2015/04/01	0003929640
V	ZRP1	SYCF	KSH	CO	2016/12/31	1412	2016/01/01	0004183141
V	ZRP1	SYCF	KSI	CO	2015/12/31	991	2015/04/01	0003929641
